date,temp,hum,percp,wspeed,pm10
2023-02-20 14:00:00,14.0,53.0,0.0,15.4,26.399352838074694
2023-02-20 15:00:00,13.6,55.0,0.0,13.2,26.399352838074694
2023-02-20 16:00:00,11.8,62.0,0.0,11.4,26.399352838074694
2023-02-20 17:00:00,10.0,68.0,0.0,13.8,26.399352838074694
2023-02-20 18:00:00,8.8,72.0,0.0,15.5,26.399352838074694
2023-02-20 19:00:00,9.2,69.0,0.0,15.0,26.399352838074694
2023-02-20 20:00:00,7.9,75.0,0.0,13.0,26.399352838074694
2023-02-20 21:00:00,6.7,80.0,0.0,12.0,26.399352838074694
2023-02-20 22:00:00,5.7,85.0,0.0,11.5,26.399352838074694
2023-02-20 23:00:00,4.9,88.0,0.0,12.5,26.399352838074694
2023-02-21 00:00:00,4.3,90.0,0.0,13.3,26.399352838074694
2023-02-21 01:00:00,3.9,92.0,0.0,12.6,26.399352838074694
2023-02-21 02:00:00,3.5,93.0,0.0,10.8,26.399352838074694
2023-02-21 03:00:00,3.1,94.0,0.0,9.9,26.399352838074694
2023-02-21 04:00:00,3.0,94.0,0.0,9.3,26.399352838074694
2023-02-21 05:00:00,2.9,94.0,0.0,8.9,26.399352838074694
2023-02-21 06:00:00,2.8,95.0,0.0,8.7,26.399352838074694
2023-02-21 07:00:00,3.5,92.0,0.0,8.7,38.0
2023-02-21 08:00:00,6.3,82.0,0.0,6.3,51.0
2023-02-21 09:00:00,9.5,71.0,0.0,4.8,43.0
2023-02-21 10:00:00,12.3,61.0,0.0,2.6,37.0
2023-02-21 11:00:00,14.4,52.0,0.0,5.4,39.0
2023-02-21 12:00:00,15.8,46.0,0.0,7.2,31.0
2023-02-21 13:00:00,16.4,42.0,0.0,7.3,37.0
2023-02-21 14:00:00,16.5,43.0,0.0,6.8,39.0
2023-02-21 15:00:00,16.0,48.0,0.0,5.6,44.0
2023-02-21 16:00:00,14.7,54.0,0.0,6.9,41.0
2023-02-21 17:00:00,12.5,61.0,0.0,4.4,52.0
2023-02-21 18:00:00,10.5,67.0,0.0,2.6,32.0
2023-02-21 19:00:00,12.2,52.0,0.0,3.3,22.0
2023-02-21 20:00:00,11.0,56.0,0.0,3.6,21.0
2023-02-21 21:00:00,10.0,59.0,0.0,3.5,18.0
2023-02-21 22:00:00,8.7,65.0,0.0,5.7,17.0
2023-02-21 23:00:00,6.6,74.0,0.0,4.0,20.0
2023-02-22 00:00:00,5.9,76.0,0.0,2.7,15.0
2023-02-22 01:00:00,5.2,78.0,0.0,3.1,15.0
2023-02-22 02:00:00,4.4,81.0,0.0,4.5,19.0
2023-02-22 03:00:00,3.7,83.0,0.0,4.2,16.0
2023-02-22 04:00:00,2.8,87.0,0.0,2.9,15.0
2023-02-22 05:00:00,2.0,90.0,0.0,3.2,17.0
2023-02-22 06:00:00,0.6,94.0,0.0,4.1,21.0
2023-02-22 07:00:00,1.2,98.0,0.0,4.7,26.0
2023-02-22 08:00:00,4.4,88.0,0.0,3.2,45.0
2023-02-22 09:00:00,7.9,78.0,0.0,3.4,88.0
2023-02-22 10:00:00,10.9,69.0,0.0,4.6,38.0
2023-02-22 11:00:00,12.6,64.0,0.0,7.6,40.0
2023-02-22 12:00:00,13.6,61.0,0.0,9.0,31.0
2023-02-22 13:00:00,14.1,58.0,0.0,9.4,39.0
2023-02-22 14:00:00,14.2,57.0,0.0,9.0,43.0
2023-02-22 15:00:00,13.7,61.0,0.0,8.4,44.0
2023-02-22 16:00:00,12.1,68.0,0.0,7.6,43.0
2023-02-22 17:00:00,10.5,74.0,0.0,8.2,42.0
2023-02-22 18:00:00,9.3,79.0,0.0,8.0,51.0
2023-02-22 19:00:00,8.4,81.0,0.0,6.8,50.0
2023-02-22 20:00:00,7.1,85.0,0.0,5.8,39.0
2023-02-22 21:00:00,5.9,88.0,0.0,5.4,41.0
2023-02-22 22:00:00,5.0,89.0,0.0,5.1,34.0
2023-02-22 23:00:00,4.2,90.0,0.0,6.2,32.0
2023-02-23 00:00:00,3.5,91.0,0.0,6.5,36.0
